#Parameters = {L=14.76212419082; Lstrip=14.805091994955; Lsus=35; W=15.46391753; Wstrip=1.65; Wsus=30.927835051546; a=0; d=30.927835051546; e=0.035; epsilonefe=3.505358317; g=1.1715; h=1.58; lambda=61.855670103093; lambdaparche=33.03796639; r_x0=240.2578583; x0=4.6861540903649}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
4.8365001678467	-15.967173199450
4.8373999595642	-15.978874722165
4.8383002281189	-15.991023317661
4.8392000198364	-16.003618618998
4.8400998115540	-16.016661169200
4.8410000801086	-16.030151531561
4.8418998718262	-16.044091398429
4.8428001403809	-16.058479541991
4.8436999320984	-16.073316989845
4.8446002006531	-16.088605537265
4.8454999923706	-16.104341818091
4.8463997840881	-16.120531167518
4.8473000526428	-16.137171056412
4.8481998443604	-16.154262019850
4.8491001129150	-16.171804736047
4.8499999046326	-16.189799471779
4.8509001731873	-16.208245930860
4.8517999649048	-16.227145365577
4.8527002334595	-16.246495428376
4.8536000251770	-16.266297935225
4.8544998168945	-16.286551582724
4.8554000854492	-16.307258488627
4.8562998771667	-16.328417055591
4.8572001457214	-16.350027034759
4.8580999374390	-16.372086196473
4.8590002059937	-16.394598773556
4.8598999977112	-16.417560523298
4.8607997894287	-16.440971542550
4.8617000579834	-16.464830787351
4.8625998497009	-16.489140063961
4.8635001182556	-16.513894390810
4.8643999099731	-16.539097423050
4.8653001785278	-16.564743445407
4.8661999702454	-16.590835070549
4.8670997619629	-16.617368803552
4.8680000305176	-16.644344660504
4.8688998222351	-16.671758424854
4.8698000907898	-16.699612257875
4.8706998825073	-16.727901853517
4.8716001510620	-16.756625301838
4.8724999427795	-16.785781936060
4.8734002113342	-16.815367047182
4.8743000030518	-16.845379994956
4.8751997947693	-16.875816648318
4.8761000633240	-16.906674452610
4.8769998550415	-16.937952612492
4.8779001235962	-16.969644915054
4.8787999153137	-17.001748723187
4.8797001838684	-17.034261788569
4.8805999755859	-17.067177717656
4.8814997673035	-17.100493984878
4.8824000358582	-17.134204826788
4.8832998275757	-17.168305760817
4.8842000961304	-17.202792691345
4.8850998878479	-17.237659452011
4.8860001564026	-17.272898456158
4.8868999481201	-17.308507881046
4.8878002166748	-17.344477919595
4.8887000083923	-17.380801651839
4.8895998001099	-17.417473571457
4.8905000686646	-17.454486651148
4.8913998603821	-17.491830172083
4.8923001289368	-17.529498738306
4.8931999206543	-17.567481356665
4.8941001892090	-17.605769805753
4.8949999809265	-17.644352794600
4.8958997726440	-17.683221765662
4.8968000411987	-17.722365580989
4.8976998329163	-17.761771865552
4.8986001014709	-17.801430027085
4.8994998931885	-17.841325020237
4.9004001617432	-17.881447146104
4.9012999534607	-17.921780437185
4.9022002220154	-17.962310889935
4.9031000137329	-18.003024440223
4.9039998054504	-18.043904027987
4.9049000740051	-18.084933783854
4.9057998657227	-18.126096005839
4.9067001342773	-18.167372978514
4.9075999259949	-18.208745166701
4.9085001945496	-18.250194537235
4.9093999862671	-18.291699757900
4.9102997779846	-18.333239330830
4.9112000465393	-18.374792267752
4.9120998382568	-18.416334636202
4.9130001068115	-18.457842858460
4.9138998985291	-18.499292162571
4.9148001670837	-18.540656420771
4.9156999588013	-18.581909270106
4.9166002273560	-18.623023659583
4.9175000190735	-18.663969490458
4.9183998107910	-18.704718664286
4.9193000793457	-18.745240071394
4.9201998710632	-18.785500675502
4.9211001396179	-18.825470570367
4.9219999313354	-18.865114574114
4.9229001998901	-18.904397819484
4.9237999916077	-18.943286369139
4.9246997833252	-18.981742106454
4.9256000518799	-19.019728471705
4.9264998435974	-19.057205256842
4.9274001121521	-19.094136778442
4.9282999038696	-19.130480302287
4.9292001724243	-19.166195290245
4.9300999641418	-19.201239140961
4.9310002326965	-19.235570478860
4.9319000244141	-19.269146938813
4.9327998161316	-19.301923041199
4.9337000846863	-19.333855601935
4.9345998764038	-19.364898140288
4.9355001449585	-19.395006994751
4.9363999366760	-19.424135052701
4.9373002052307	-19.452238276683
4.9381999969482	-19.479270071088
4.9390997886658	-19.505182332509
4.9400000572205	-19.529931907409
4.9408998489380	-19.553471682278
4.9418001174927	-19.575756548910
4.9426999092102	-19.596742900150
4.9436001777649	-19.616384499545
4.9444999694824	-19.634638084108
4.9454002380371	-19.651461590546
4.9463000297546	-19.666811864355
4.9471998214722	-19.680649544184
4.9481000900269	-19.692934967095
